Batch2-SS-0~10,,,,,,,,
,three-helix,beta-bridge,turn,ahelix,beta-sheet,bend,five-helix,coil
0,0.474,0.337,0.495,0.508,0.393,0.524,0.311,0.557
1,0.502,0.342,0.51,0.482,0.385,0.558,0.34,0.675
2,0.511,0.33,0.519,0.495,0.349,0.567,0.326,0.765
3,0.535,0.354,0.541,0.531,0.351,0.592,0.375,0.811
4,0.557,0.379,0.555,0.537,0.358,0.609,0.343,0.828
5,0.569,0.373,0.566,0.554,0.353,0.62,0.375,0.839
6,0.57,0.375,0.565,0.546,0.366,0.617,0.409,0.841
7,0.578,0.38,0.569,0.559,0.374,0.622,0.355,0.847
8,0.588,0.379,0.563,0.555,0.34,0.623,0.425,0.849
9,0.583,0.422,0.57,0.556,0.357,0.624,0.396,0.847
10,0.587,0.413,0.563,0.549,0.368,0.621,0.342,0.843
